p_pu,p_up,p_lu,ratio,Run,followers,leaders,pheromone,unassigned
0.43513085937499996,0.5869228515625,0.041699218749999996,0.6121318359375,66,0,0,0,105
0.43513085937499996,0.5211826171875,0.09602734375,0.6121318359375,67,0,0,105,0
0.43513085937499996,0.5211826171875,0.041699218749999996,0.4972294921875,68,0,0,105,0
0.43513085937499996,0.5211826171875,0.041699218749999996,0.6121318359375,69,0,0,0,105
0.076869140625,0.7604228515625,0.21802734375,0.5767294921875,70,0,0,105,0
0.21413085937499998,0.7604228515625,0.21802734375,0.5767294921875,71,0,0,105,0
0.076869140625,0.6946826171875,0.21802734375,0.5767294921875,72,0,0,105,0
0.076869140625,0.7604228515625,0.16369921875,0.5767294921875,73,0,0,105,0
0.076869140625,0.7604228515625,0.21802734375,0.5326318359375,74,0,0,105,0
0.076869140625,0.6946826171875,0.16369921875,0.5326318359375,75,0,0,105,0
