;p_uf;p_pu;p_up;p_fl;p_lu;Run;followers;leaders;pheromone;unassigned
9850;0.85693359375;0.39501953125;0.92626953125;0.94970703125;0.51708984375;9850;0;0;0;110
9851;0.85693359375;0.39501953125;0.92626953125;0.94970703125;0.94189453125;9851;0;0;0;110
9852;0.78564453125;0.59228515625;0.51318359375;0.44873046875;0.01708984375;9852;6;103;0;1
9853;0.35693359375;0.59228515625;0.51318359375;0.44873046875;0.01708984375;9853;4;101;0;5
9854;0.78564453125;0.89501953125;0.51318359375;0.44873046875;0.01708984375;9854;5;103;0;2
9855;0.78564453125;0.59228515625;0.42626953125;0.44873046875;0.01708984375;9855;2;107;0;1
9856;0.78564453125;0.59228515625;0.51318359375;0.44970703125;0.01708984375;9856;6;102;0;2
9857;0.78564453125;0.59228515625;0.51318359375;0.44873046875;0.44189453125;9857;0;0;0;110
9858;0.78564453125;0.89501953125;0.42626953125;0.44970703125;0.44189453125;9858;0;0;0;110
9859;0.35693359375;0.59228515625;0.42626953125;0.44970703125;0.44189453125;9859;0;0;0;110
9860;0.35693359375;0.89501953125;0.51318359375;0.44970703125;0.44189453125;9860;0;0;0;110
9861;0.35693359375;0.89501953125;0.42626953125;0.44873046875;0.44189453125;9861;0;0;0;110
9862;0.35693359375;0.89501953125;0.42626953125;0.44970703125;0.01708984375;9862;3;106;0;1
9863;0.35693359375;0.89501953125;0.42626953125;0.44970703125;0.44189453125;9863;0;0;0;110
9864;0.53564453125;0.34228515625;0.26318359375;0.69873046875;0.26708984375;9864;0;0;0;110
9865;0.10693359375;0.34228515625;0.26318359375;0.69873046875;0.26708984375;9865;0;0;0;110
9866;0.53564453125;0.14501953125;0.26318359375;0.69873046875;0.26708984375;9866;0;0;0;110
9867;0.53564453125;0.34228515625;0.17626953125;0.69873046875;0.26708984375;9867;0;0;0;110
9868;0.53564453125;0.34228515625;0.26318359375;0.19970703125;0.26708984375;9868;0;0;0;110
9869;0.53564453125;0.34228515625;0.26318359375;0.69873046875;0.19189453125;9869;3;11;0;96
9870;0.53564453125;0.14501953125;0.17626953125;0.19970703125;0.19189453125;9870;0;0;0;110
9871;0.10693359375;0.34228515625;0.17626953125;0.19970703125;0.19189453125;9871;0;0;0;110
9872;0.10693359375;0.14501953125;0.26318359375;0.19970703125;0.19189453125;9872;0;0;0;110
9873;0.10693359375;0.14501953125;0.17626953125;0.69873046875;0.19189453125;9873;0;0;0;110
9874;0.10693359375;0.14501953125;0.17626953125;0.19970703125;0.26708984375;9874;0;0;0;110
9875;0.10693359375;0.14501953125;0.17626953125;0.19970703125;0.19189453125;9875;0;0;0;110
9876;0.03564453125;0.84228515625;0.76318359375;0.19873046875;0.76708984375;9876;0;0;0;110
9877;0.60693359375;0.84228515625;0.76318359375;0.19873046875;0.76708984375;9877;0;0;0;110
9878;0.03564453125;0.64501953125;0.76318359375;0.19873046875;0.76708984375;9878;0;0;0;110
9879;0.03564453125;0.84228515625;0.67626953125;0.19873046875;0.76708984375;9879;0;0;0;110
9880;0.03564453125;0.84228515625;0.76318359375;0.69970703125;0.76708984375;9880;0;0;0;110
9881;0.03564453125;0.84228515625;0.76318359375;0.19873046875;0.69189453125;9881;0;0;0;110
9882;0.03564453125;0.64501953125;0.67626953125;0.69970703125;0.69189453125;9882;0;0;0;110
9883;0.60693359375;0.84228515625;0.67626953125;0.69970703125;0.69189453125;9883;0;0;0;110
9884;0.60693359375;0.64501953125;0.76318359375;0.69970703125;0.69189453125;9884;0;0;0;110
9885;0.60693359375;0.64501953125;0.67626953125;0.19873046875;0.69189453125;9885;0;0;0;110
9886;0.60693359375;0.64501953125;0.67626953125;0.69970703125;0.76708984375;9886;0;0;0;110
9887;0.60693359375;0.64501953125;0.67626953125;0.69970703125;0.69189453125;9887;0;0;0;110
9888;0.05126953125;0.10791015625;0.62255859375;0.27685546875;0.09521484375;9888;0;0;65;45
9889;0.74755859375;0.10791015625;0.62255859375;0.27685546875;0.09521484375;9889;17;62;0;31
9890;0.05126953125;0.19189453125;0.62255859375;0.27685546875;0.09521484375;9890;0;0;0;110
9891;0.05126953125;0.10791015625;0.53564453125;0.27685546875;0.09521484375;9891;0;0;0;110
9892;0.05126953125;0.10791015625;0.62255859375;0.40283203125;0.09521484375;9892;0;0;0;110
9893;0.05126953125;0.10791015625;0.62255859375;0.27685546875;0.14501953125;9893;0;0;64;46
9894;0.05126953125;0.19189453125;0.53564453125;0.40283203125;0.14501953125;9894;0;0;0;110
9895;0.74755859375;0.10791015625;0.53564453125;0.40283203125;0.14501953125;9895;20;60;0;30
